title,rank,score,users_rated,Popularity,Favorites,Members,animeType,Episodes,status,premiered,studio,source,rating,genres
Hourou Musuko Specials,1187,7.68,2860,4909,7,7105,Special,2,Finished Airing,"Aug 24, 2011 to Sep 21, 2011",AIC Classic,Manga,"Aug 24, 2011 to Sep 21, 2011","Drama,School"
Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,1188,7.68,479,8185,13,1724,Movie,1,Finished Airing,"Oct 27, 2018",Toei Animation,Original,"Oct 27, 2018","Action,Fantasy,Magic,Shoujo"
Majin Tantei Nougami Neuro,1189,7.68,21889,1754,570,54495,TV,25,Finished Airing,Fall 2007,Madhouse,Manga,R - 17+ (violence & profanity),"Mystery,Comedy,Demons,Supernatural,Shounen"
Momo e no Tegami,1190,7.68,22922,1789,128,52738,Movie,1,Finished Airing,"Apr 21, 2012",Production I.G,Original,"Apr 21, 2012","Supernatural,Drama"
No.6,1191,7.68,127164,375,6050,257831,TV,11,Finished Airing,Summer 2011,Bones,Novel,R - 17+ (violence & profanity),"Action,Sci-Fi,Mystery,Drama"
Nobunaga Concerto,1192,7.68,16105,2136,249,40250,TV,10,Finished Airing,Summer 2014,Fuji TV,Manga,PG-13 - Teens 13 or older,"Comedy,Historical,Romance,Shounen"
Persona 3 the Movie 1: Spring of Birth,1193,7.68,37120,1397,418,74784,Movie,1,Finished Airing,"Nov 23, 2013",AIC A.S.T.A.,Game,"Nov 23, 2013","Action,Supernatural,Fantasy"
Sarazanmai,1194,7.68,21285,1557,736,64337,TV,11,Finished Airing,Spring 2019,MAPPA,Original,PG-13 - Teens 13 or older,"Action,Fantasy,Supernatural"
Senjou no Valkyria,1195,7.68,43845,1023,621,105556,TV,26,Finished Airing,Spring 2009,A-1 Pictures,Game,PG-13 - Teens 13 or older,"Action,Military,Romance"
Shakugan no Shana II (Second),1196,7.68,136909,399,1115,243348,TV,24,Finished Airing,Fall 2007,J.C.Staff,Light novel,PG-13 - Teens 13 or older,"Action,Drama,Fantasy,Romance,School,Supernatural"
Shingeki no Kyojin Movie 1: Guren no Yumiya,1197,7.68,22872,1662,109,58421,Movie,1,Finished Airing,"Nov 22, 2014",Wit Studio,Manga,"Nov 22, 2014","Action,Drama,Fantasy,Shounen,Super Power"
Sora no Otoshimono: Forte,1198,7.68,126741,487,954,214207,TV,12,Finished Airing,Fall 2010,AIC A.S.T.A.,Manga,PG-13 - Teens 13 or older,"Comedy,Ecchi,Harem,Romance,Sci-Fi,Shounen,Supernatural"
Sword Art Online: Alicization,1199,7.68,149877,236,4226,364494,TV,24,Finished Airing,Fall 2018,A-1 Pictures,Light novel,PG-13 - Teens 13 or older,"Action,Game,Adventure,Romance,Fantasy"
Tamayura: Sotsugyou Shashin Part 1 - Kizashi,1200,7.68,2243,4782,7,7574,Movie,1,Finished Airing,"Apr 4, 2015",TYO Animations,Original,"Apr 4, 2015","Comedy,Drama,Slice of Life"
The iDOLM@STER,1201,7.68,39621,950,1494,115710,TV,25,Finished Airing,Summer 2011,A-1 Pictures,Game,PG-13 - Teens 13 or older,"Comedy,Drama,Music"
Umi no Yuurei,1202,7.68,432,9545,1,933,add some,1,Finished Airing,"May 27, 2019",add some,Manga,"May 27, 2019","Music,Supernatural"
Durarara!!x2 Ketsu: Dufufufu!!,1203,7.67,13183,2397,48,32951,Special,1,Finished Airing,"Jul 27, 2016",Shuka,Light novel,"Jul 27, 2016","Action,Mystery,Supernatural"
Enen no Shouboutai,1204,7.67,62924,357,1421,268945,TV,24,Currently Airing,Summer 2019,David Production,Manga,PG-13 - Teens 13 or older,"Action,Supernatural,Shounen"
Fune wo Amu,1205,7.67,24913,1489,253,68950,TV,11,Finished Airing,Fall 2016,Zexcs,Novel,PG-13 - Teens 13 or older,"Slice of Life,Drama,Romance"
GetBackers,1206,7.67,40120,1123,874,94756,TV,49,Finished Airing,Fall 2002,Studio Deen,Manga,PG-13 - Teens 13 or older,"Action,Comedy,Drama,Mystery,Shounen,Super Power,Supernatural"
Huyao Xiao Hongniang: Wangquan Fugui,1207,7.67,3908,4363,19,9484,ONA,14,Finished Airing,"Jan 8, 2016 to Apr 15, 2016",Haoliners Animation League,Manga,"Jan 8, 2016 to Apr 15, 2016","Comedy,Historical,Supernatural,Romance"
Ie Naki Ko Remy Specials,1208,7.67,693,8503,5,1507,Special,3,Finished Airing,"Jun, 1997",Nippon Animation,Unknown,"Jun, 1997","Adventure,Drama"
Kekkaishi,1210,7.67,37108,1292,546,82078,TV,52,Finished Airing,Fall 2006,Sunrise,Manga,PG-13 - Teens 13 or older,"Adventure,Comedy,Fantasy,Shounen"
"Kumo no Mukou, Yakusoku no Basho",1210,7.67,69354,700,702,154259,Movie,1,Finished Airing,"Nov 20, 2004",CoMix Wave Films,Original,"Nov 20, 2004","Drama,Military,Romance,Sci-Fi"
Master Keaton,1211,7.67,3169,3576,90,15477,TV,24,Finished Airing,Fall 1998,Madhouse,Manga,R - 17+ (violence & profanity),"Adventure,Drama,Historical,Mystery,Seinen,Slice of Life"
Noein: Mou Hitori no Kimi e,1212,7.67,24227,1443,722,71586,TV,24,Finished Airing,Fall 2005,Satelight,Original,PG-13 - Teens 13 or older,"Adventure,Drama,Sci-Fi,Slice of Life"
One Piece Movie 4: Dead End no Bouken,1214,7.67,32901,1674,42,57897,Movie,1,Finished Airing,"Mar 1, 2003",Toei Animation,Manga,"Mar 1, 2003","Action,Adventure,Comedy,Super Power,Fantasy,Shounen"
Persona 3 the Movie 3: Falling Down,1215,7.67,17778,2101,132,41231,Movie,1,Finished Airing,"Apr 4, 2015",A-1 Pictures,Game,"Apr 4, 2015","Action,Fantasy,Supernatural"
Pokemon Movie 01: Mewtwo no Gyakushuu,1215,7.67,101752,716,268,151419,Movie,1,Finished Airing,"Jul 18, 1998",OLM,Game,"Jul 18, 1998","Action,Adventure,Comedy,Kids,Drama,Fantasy"
Sengoku Basara Movie: The Last Party,1217,7.67,11394,2895,75,23475,Movie,1,Finished Airing,"Jun 4, 2011",Production I.G,Game,"Jun 4, 2011","Action,Historical,Martial Arts,Samurai,Super Power"
Shokugeki no Souma: Ni no Sara OVA,1218,7.67,40184,1233,104,85630,OVA,2,Finished Airing,"May 1, 2017 to Jul 4, 2017",J.C.Staff,Manga,"May 1, 2017 to Jul 4, 2017","Ecchi,School,Shounen"
Shoujo☆Kageki Revue Starlight,1218,7.67,13743,2042,626,43453,TV,12,Finished Airing,Summer 2018,Kinema Citrus,Original,PG-13 - Teens 13 or older,"Music,School"
Special A,1220,7.67,126067,388,2916,247598,TV,24,Finished Airing,Spring 2008,Gonzo,Manga,PG-13 - Teens 13 or older,"Comedy,Romance,School,Shoujo"
Uchuu Kyoudai: Number Zero,1220,7.67,988,5815,3,4674,Movie,1,Finished Airing,"Aug 9, 2014",A-1 Pictures,Manga,"Aug 9, 2014","Sci-Fi,Slice of Life,Space,Comedy,Seinen"
Uchuu Senkan Yamato,1221,7.67,4358,3324,148,17873,TV,26,Finished Airing,Fall 1974,Group TAC,Original,PG-13 - Teens 13 or older,"Action,Adventure,Drama,Military,Sci-Fi,Space"
Zombieland Saga,1223,7.67,97033,474,1609,218824,TV,12,Finished Airing,Fall 2018,MAPPA,Original,R - 17+ (violence & profanity),"Music,Comedy,Supernatural"
D-Frag!,1224,7.66,135100,370,1971,261824,TV,12,Finished Airing,Winter 2014,Brain's Base,Manga,PG-13 - Teens 13 or older,"Game,Comedy,School,Seinen"
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,1225,7.66,80626,679,2185,158746,TV,11,Finished Airing,Summer 2016,Lerche,Game,R - 17+ (violence & profanity),"Action,Mystery,Horror,Psychological,School"
Digimon Tamers,1226,7.66,84258,799,1428,135908,TV,51,Finished Airing,Spring 2001,Toei Animation,Original,PG - Children,"Adventure,Comedy,Drama,Fantasy,Shounen"
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,1226,7.66,56805,1176,113,89598,Movie,1,Finished Airing,"Mar 4, 1995",Toei Animation,Manga,"Mar 4, 1995","Action,Adventure,Comedy,Fantasy,Sci-Fi,Shounen"
Free! Movie 1: Timeless Medley - Kizuna,1227,7.66,3996,2936,59,22975,Movie,1,Finished Airing,"Apr 22, 2017",Kyoto Animation,Original,"Apr 22, 2017","Drama,School,Slice of Life,Sports"
Gensoumaden Saiyuuki,1228,7.66,15845,2077,792,41829,TV,50,Finished Airing,Spring 2000,Studio Pierrot,Manga,R - 17+ (violence & profanity),"Adventure,Comedy,Supernatural,Drama,Shounen"
Guilty Crown,1207,7.66,398675,58,16367,764490,TV,22,Finished Airing,Fall 2011,Production I.G,Original,R - 17+ (violence & profanity),"Action,Sci-Fi,Super Power,Drama,Romance,Mecha"
Hakumei to Mikochi,1230,7.66,10573,2196,184,38839,TV,12,Finished Airing,Winter 2018,Lerche,Manga,PG-13 - Teens 13 or older,"Fantasy,Seinen,Slice of Life"
Hayate no Gotoku!,1231,7.66,70717,621,1634,170827,TV,52,Finished Airing,Spring 2007,SynergySP,Manga,PG-13 - Teens 13 or older,"Action,Harem,Comedy,Parody,Romance,Shounen"
Higashi no Eden Movie I: The King of Eden,1232,7.66,79059,834,141,131530,Movie,1,Finished Airing,"Nov 28, 2009",Production I.G,Original,"Nov 28, 2009","Comedy,Drama,Mystery,Romance,Slice of Life,Thriller"
Hoshi wo Ou Kodomo,1233,7.66,61656,811,475,133889,Movie,1,Finished Airing,"May 7, 2011",CoMix Wave Films,Original,"May 7, 2011","Adventure,Romance,Fantasy"
Hungry Heart: Wild Striker,1234,7.66,9703,3298,213,18123,TV,52,Finished Airing,Fall 2002,Nippon Animation,Manga,PG-13 - Teens 13 or older,"Slice of Life,Comedy,Sports,Shounen"
Huyao Xiao Hongniang: Qian Yan,1235,7.66,1357,6123,5,4136,ONA,15,Finished Airing,"Feb 24, 2017 to Jun 2, 2017",Haoliners Animation League,Manga,"Feb 24, 2017 to Jun 2, 2017","Comedy,Historical,Supernatural,Romance"
Inazuma Eleven,1236,7.66,53293,1134,2076,93930,TV,127,Finished Airing,Fall 2008,OLM,Game,G - All Ages,"Sports,Super Power,Shounen"
InuYasha Movie 1: Toki wo Koeru Omoi,1237,7.66,38794,1518,153,67218,Movie,1,Finished Airing,"Dec 22, 2001",Kyoto Animation,Manga,"Dec 22, 2001","Action,Adventure,Comedy,Historical,Demons,Supernatural,Drama,Magic,Romance,Fantasy,Shounen"
Kara no Kyoukai Remix: Gate of Seventh Heaven,1238,7.66,13988,2380,57,33330,Movie,1,Finished Airing,"Mar 14, 2009",ufotable,Light novel,"Mar 14, 2009","Action,Mystery,Romance,Super Power,Thriller"
"Katekyo Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!",1239,7.66,12374,2839,136,24404,ONA,1,Finished Airing,"Mar, 2010",Artland,Manga,"Mar, 2010","Comedy,Shounen"
Kemono Friends,1240,7.66,22385,1657,940,58720,TV,12,Finished Airing,Winter 2017,Yaoyorozu,Game,PG - Children,"Adventure,Comedy,Fantasy"
Kore wa Zombie Desu ka? of the Dead,1241,7.66,159321,349,715,274680,TV,10,Finished Airing,Spring 2012,Studio Deen,Light novel,R - 17+ (violence & profanity),"Action,Harem,Comedy,Supernatural,Magic,Ecchi"
Kuroko no Basket: Baka ja Katenai no yo!,1242,7.66,20115,2230,51,37736,OVA,1,Finished Airing,"Dec 4, 2013",Production I.G,Unknown,"Dec 4, 2013","Sports,Comedy,School,Shounen"
Layton Kyouju to Eien no Utahime,1243,7.66,11203,3123,119,20181,Movie,1,Finished Airing,"Dec 19, 2009",OLM,Game,"Dec 19, 2009","Adventure,Mystery"
Log Horizon 2nd Season,1244,7.66,206016,220,1290,380934,TV,25,Finished Airing,Fall 2014,Studio Deen,Novel,PG-13 - Teens 13 or older,"Action,Adventure,Fantasy,Game,Magic"
Mitsudomoe,1245,7.66,33077,1336,552,79226,TV,13,Finished Airing,Summer 2010,Bridge,Manga,PG-13 - Teens 13 or older,"Comedy,School,Slice of Life"
Noblesse: Awakening,1246,7.66,27389,1755,338,54588,ONA,1,Finished Airing,"Feb 4, 2016",Production I.G,Web manga,"Feb 4, 2016","Action,School,Supernatural,Vampire"
Osomatsu-san 2nd Season,1247,7.66,11143,2322,221,34870,TV,25,Finished Airing,Fall 2017,Studio Pierrot,Manga,R - 17+ (violence & profanity),"Comedy,Parody"
Over Drive,1248,7.66,16674,2289,217,35933,TV,26,Finished Airing,Spring 2007,Xebec,Manga,PG-13 - Teens 13 or older,"Shounen,Sports"
Sakamoto Desu ga?,1249,7.66,184906,215,1702,388106,TV,12,Finished Airing,Spring 2016,Studio Deen,Manga,PG-13 - Teens 13 or older,"Slice of Life,Comedy,School,Seinen"
Seitokai Yakuindomo,1250,7.66,156038,279,2813,329824,TV,13,Finished Airing,Summer 2010,GoHands,4-koma manga,R - 17+ (violence & profanity),"Comedy,School,Shounen,Slice of Life"
Strike Witches Movie,1251,7.66,14685,2438,116,31771,Movie,1,Finished Airing,"Mar 17, 2012",AIC,Original,"Mar 17, 2012","Action,Ecchi,Magic,Military,Sci-Fi"
Tenshi no Tamago,1252,7.66,27083,1499,1500,68099,OVA,1,Finished Airing,"Dec 22, 1985",Studio Deen,Original,"Dec 22, 1985","Fantasy,Dementia,Drama"
Tokyo Ravens,1253,7.66,134285,315,1776,297522,TV,24,Finished Airing,Fall 2013,8bit,Light novel,PG-13 - Teens 13 or older,"Comedy,Supernatural,Magic,Romance,School"
Tonari no Kaibutsu-kun,1254,7.66,330815,93,4585,578938,TV,13,Finished Airing,Fall 2012,Brain's Base,Manga,PG-13 - Teens 13 or older,"Slice of Life,Comedy,Romance,School,Shoujo"
Toriko,1255,7.66,27015,1267,757,84106,TV,147,Finished Airing,Spring 2011,Toei Animation,Manga,PG-13 - Teens 13 or older,"Action,Adventure,Comedy,Fantasy,Shounen"
Towa no Quon 4: Guren no Shoushin,1256,7.66,14751,2688,13,26659,Movie,1,Finished Airing,"Sep 10, 2011",Bones,Original,"Sep 10, 2011","Action,Sci-Fi,Super Power,Supernatural"
Tsubasa Chronicle 2nd Season,1257,7.66,48655,1108,533,96207,TV,26,Finished Airing,Spring 2006,Bee Train,Manga,PG-13 - Teens 13 or older,"Action,Adventure,Fantasy,Romance,Supernatural,Drama,Mystery,Shounen"
Utawarerumono Specials,1258,7.66,6977,3793,8,13358,Special,6,Finished Airing,"Aug 23, 2006 to Feb 21, 2007",OLM,Unknown,"Aug 23, 2006 to Feb 21, 2007","Action,Fantasy,Comedy,Drama"
Yowamushi Pedal Movie,1259,7.66,9347,3197,22,19245,Movie,1,Finished Airing,"Aug 28, 2015",TMS Entertainment,Manga,"Aug 28, 2015","Comedy,Drama,Shounen,Sports"
Yuru Yuri,1260,7.66,107689,411,4043,237009,TV,12,Finished Airing,Summer 2011,Doga Kobo,Manga,PG-13 - Teens 13 or older,"Slice of Life,Comedy,School,Shoujo Ai"
"Yuru Yuri,",1261,7.66,670,3870,22,12628,OVA,1,Finished Airing,"Sep 18, 2019",Lay-duce,Manga,"Sep 18, 2019","Slice of Life,Comedy,School,Shoujo Ai"
Aa! Megami-sama!: Tatakau Tsubasa,1262,7.65,11121,2972,28,22392,Special,2,Finished Airing,"Dec 9, 2007",add some,Manga,"Dec 9, 2007","Comedy,Magic,Romance,Seinen,Supernatural"
Ashita no Nadja,1263,7.65,7074,3088,208,20614,TV,50,Finished Airing,Winter 2003,Toei Animation,Original,G - All Ages,"Adventure,Drama,Historical,Romance,Shoujo"
Bishoujo Senshi Sailor Moon SuperS,1264,7.65,39483,1401,436,74370,TV,39,Finished Airing,Spring 1995,Toei Animation,Manga,PG-13 - Teens 13 or older,"Drama,Magic,Romance,Shoujo"
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,1265,7.65,48463,1133,194,94242,Movie,1,Finished Airing,"Sep 14, 2013",Sunrise,Original,"Sep 14, 2013","Action,Mecha,Military"
Diamond no Ace OVA,1266,7.65,5030,4046,22,11376,OVA,3,Finished Airing,"Nov 17, 2014 to Mar 17, 2015",Production I.G,Manga,"Nov 17, 2014 to Mar 17, 2015","Comedy,Sports,School,Shounen"
Full Metal Panic! Invisible Victory,1267,7.65,19732,1610,219,61398,TV,12,Finished Airing,Spring 2018,Xebec,Light novel,R - 17+ (violence & profanity),"Action,Mecha,Military"
Fullmetal Alchemist: The Conqueror of Shamballa,1268,7.65,159895,390,636,246747,Movie,1,Finished Airing,"Jul 23, 2005",Bones,Manga,"Jul 23, 2005","Military,Comedy,Historical,Drama,Fantasy,Shounen"
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,1269,7.65,17995,1817,158,51942,TV,12,Finished Airing,Spring 2018,Production I.G,Novel,R - 17+ (violence & profanity),"Action,Drama,Military,Sci-Fi,Space"
Grisaia no Kajitsu,1270,7.65,176909,265,3045,344401,TV,13,Finished Airing,Fall 2014,8bit,Visual novel,R+ - Mild Nudity,"Drama,Harem,Psychological,Romance,School"
Itazura na Kiss,1271,7.65,101823,542,2826,194054,TV,25,Finished Airing,Spring 2008,TMS Entertainment,Manga,PG-13 - Teens 13 or older,"Comedy,Romance,Shoujo"
Juubee Ninpuuchou,1272,7.65,46257,1254,781,84320,Movie,1,Finished Airing,"Jun 5, 1993",Madhouse,Original,"Jun 5, 1993","Adventure,Historical,Horror,Supernatural,Romance,Samurai,Fantasy,Shounen"
Konnichiwa Anne: Before Green Gables,1273,7.65,1013,6002,20,4333,TV,39,Finished Airing,Spring 2009,Nippon Animation,Novel,G - All Ages,"Drama,Historical,Kids,Slice of Life"
Konohana Kitan,1274,7.65,27510,1263,413,84131,TV,12,Finished Airing,Fall 2017,Lerche,Manga,PG-13 - Teens 13 or older,"Slice of Life,Fantasy,Seinen,Shoujo Ai"
"Momoko, Kaeru no Uta ga Kikoeru yo.",1275,7.65,791,7398,14,2410,Movie,1,Finished Airing,"Jul 23, 2003",add some,Book,"Jul 23, 2003","Drama,School,Slice of Life"
Patapata Hikousen no Bouken,1276,7.65,1410,5775,38,4763,TV,26,Finished Airing,Winter 2002,Telecom Animation Film,Novel,PG-13 - Teens 13 or older,"Adventure,Sci-Fi"
Qin Shi Ming Yue: Tian Xing Jiu Ge 2nd Season,1277,7.65,83,10846,2,506,ONA,Unknown,Currently Airing,"Apr 24, 2019 to ?",add some,Original,"Apr 24, 2019 to ?","Action,Historical,Martial Arts,Fantasy"
Super Lovers OVA,1278,7.65,4567,3443,58,16665,OVA,2,Finished Airing,"Jan 1, 2017 to Sep 1, 2017",Studio Deen,Manga,"Jan 1, 2017 to Sep 1, 2017","Slice of Life,Comedy,Drama,Romance,Shounen Ai"
Tonari no Seki-kun,1279,7.65,68804,736,498,146992,TV,21,Finished Airing,Winter 2014,Shin-Ei Animation,Manga,G - All Ages,"Comedy,School,Seinen"
Uchuu Patrol Luluco,1280,7.65,53167,1018,934,106721,TV,13,Finished Airing,Spring 2016,Trigger,Original,PG-13 - Teens 13 or older,"Action,Adventure,Comedy,Space"
UN-GO: Inga-ron,1281,7.65,15898,2500,28,30455,Movie,1,Finished Airing,"Nov 19, 2011",Bones,Novel,"Nov 19, 2011","Mystery,Supernatural"
Ushio to Tora (TV),1282,7.65,63510,732,605,148441,TV,26,Finished Airing,Summer 2015,MAPPA,Manga,PG-13 - Teens 13 or older,"Action,Adventure,Comedy,Demons,Shounen,Supernatural"
"Yondemasu yo, Azazel-san.",1283,7.65,10597,2782,68,25143,OVA,4,Finished Airing,"Feb 23, 2010 to Jun 23, 2014",Production I.G,Manga,"Feb 23, 2010 to Jun 23, 2014","Comedy,Demons,Supernatural"
Zero no Tsukaima F,1284,7.65,162984,346,1111,277229,TV,12,Finished Airing,Winter 2012,J.C.Staff,Light novel,PG-13 - Teens 13 or older,"Adventure,Magic,Romance,Ecchi,Fantasy"
5-toubun no Hanayome,1285,7.64,100487,544,2711,194561,TV,12,Finished Airing,Winter 2019,Tezuka Productions,Manga,PG-13 - Teens 13 or older,"Harem,Comedy,Romance,School,Shounen"
Aa! Megami-sama!: Sorezore no Tsubasa,1286,7.64,28621,1790,175,52655,TV,22,Finished Airing,Spring 2006,AIC,Manga,PG-13 - Teens 13 or older,"Comedy,Magic,Romance,Seinen,Supernatural"
Arakawa Under the Bridge,1287,7.64,107227,396,1948,243817,TV,13,Finished Airing,Spring 2010,Shaft,Manga,PG-13 - Teens 13 or older,"Comedy,Romance,Seinen"
Balala Xiaomoxian: Mofa Hai Ying Bao,1288,7.64,83,11355,0,398,TV,Unknown,Currently Airing,Fall 2018,add some,Unknown,G - All Ages,
Bokura Mada Underground,1289,7.64,717,9097,11,1175,add some,1,Finished Airing,"Jan 24, 2019",Wit Studio,Original,"Jan 24, 2019",Music
Denpa-teki na Kanojo,1290,7.64,54476,946,726,116335,OVA,2,Finished Airing,"Feb 4, 2009 to Dec 4, 2009",Brain's Base,Light novel,"Feb 4, 2009 to Dec 4, 2009","Mystery,Thriller,School"
Dragon Ball Super,1291,7.64,174252,245,6154,357683,TV,131,Finished Airing,Summer 2015,Toei Animation,Manga,PG-13 - Teens 13 or older,"Action,Adventure,Comedy,Super Power,Martial Arts,Fantasy,Shounen"
Fate/kaleid liner Prisma☆Illya 3rei!!,1292,7.64,34738,1421,270,72919,TV,12,Finished Airing,Summer 2016,Silver Link.,Manga,PG-13 - Teens 13 or older,"Action,Comedy,Magic,Fantasy"
Furiko,1293,7.64,9373,3683,69,14344,Special,1,Finished Airing,"Mar 16, 2012",add some,Original,"Mar 16, 2012","Music,Slice of Life,Drama,Romance"
Giant Killing,1294,7.64,25973,1832,312,51182,TV,26,Finished Airing,Spring 2010,Studio Deen,Manga,PG-13 - Teens 13 or older,"Sports,Drama,Seinen"
Ginga Tetsudou 999 (Movie),1295,7.64,5088,3922,104,12263,Movie,1,Finished Airing,"Aug 4, 1979",Toei Animation,Manga,"Aug 4, 1979","Sci-Fi,Adventure,Space,Drama,Fantasy"
Gugure! Kokkuri-san,1296,7.64,57132,837,862,131428,TV,12,Finished Airing,Fall 2014,TMS Entertainment,4-koma manga,PG-13 - Teens 13 or older,"Comedy,Shounen,Supernatural"
Happy Party Train,1297,7.64,2913,5283,28,5982,Lantis,1,Finished Airing,"Apr 5, 2017",Sunrise,Music,"Apr 5, 2017",Music
Huyao Xiao Hongniang: Beishan Yaodi,1298,7.64,2115,5691,4,4962,ONA,8,Finished Airing,"Nov 18, 2016 to Jan 6, 2017",Haoliners Animation League,Manga,"Nov 18, 2016 to Jan 6, 2017","Comedy,Historical,Supernatural,Romance"
Itsudatte Bokura no Koi wa 10 cm Datta.,1299,7.64,34164,1171,405,90013,TV,6,Finished Airing,Fall 2017,Lay-duce,Music,PG-13 - Teens 13 or older,"Comedy,Drama,Romance,School"
Kaitou Saint Tail,1300,7.64,4787,3842,151,12856,TV,43,Finished Airing,Fall 1995,TMS Entertainment,Manga,G - All Ages,"Adventure,Magic,Romance,Shoujo"
Kareshi Kanojo no Jijou,1301,7.64,53464,759,1786,142294,TV,26,Finished Airing,Fall 1998,Gainax,Manga,PG-13 - Teens 13 or older,"Comedy,Drama,Romance,School,Shoujo,Slice of Life"
Kino no Tabi: The Beautiful World - Tou no Kuni,1302,7.64,14992,2572,16,28904,Special,1,Finished Airing,"Oct 19, 2005",A.C.G.T.,Light novel,"Oct 19, 2005","Adventure,Fantasy,Psychological"
Shounen Onmyouji,1303,7.64,15725,2033,285,43578,TV,26,Finished Airing,Fall 2006,Studio Deen,Light novel,PG-13 - Teens 13 or older,"Action,Magic,Fantasy,Supernatural,Demons,Historical,Shoujo"
To LOVE-Ru Darkness,1304,7.64,123152,443,1819,228701,TV,12,Finished Airing,Fall 2012,Xebec,Manga,R+ - Mild Nudity,"Comedy,Ecchi,Harem,Romance,School,Sci-Fi,Shounen"
To LOVE-Ru Darkness 2nd,1306,7.64,73817,724,778,149476,TV,12,Finished Airing,Summer 2015,Xebec,Manga,R+ - Mild Nudity,"Comedy,Ecchi,Harem,Romance,School,Sci-Fi,Shounen"
UFO Robo Grendizer,1306,7.64,3267,4939,94,7013,TV,74,Finished Airing,Fall 1975,Toei Animation,Unknown,PG-13 - Teens 13 or older,"Mecha,Sci-Fi,Shounen"
World Trigger,1307,7.64,55208,573,1232,184207,TV,73,Finished Airing,Fall 2014,Toei Animation,Manga,PG-13 - Teens 13 or older,"Action,Sci-Fi,Supernatural,School,Shounen"
Yowamushi Pedal: Glory Line,1308,7.64,11917,2528,88,29907,TV,25,Finished Airing,Winter 2018,TMS Entertainment,Manga,PG-13 - Teens 13 or older,"Comedy,Drama,Shounen,Sports"
Basilisk: Kouga Ninpou Chou,1309,7.63,59858,769,1387,140345,TV,24,Finished Airing,Spring 2005,Gonzo,Manga,R - 17+ (violence & profanity),"Action,Adventure,Historical,Supernatural,Romance,Samurai,Fantasy"
Drifters (OVA),1310,7.63,11397,1863,65,50102,OVA,2,Finished Airing,"Dec 23, 2017",Hoods Drifters Studio,Manga,"Dec 23, 2017","Action,Adventure,Comedy,Historical,Samurai,Fantasy,Seinen"
Girls & Panzer,1311,7.63,86658,589,3253,179565,TV,12,Finished Airing,Fall 2012,Actas,Original,PG-13 - Teens 13 or older,"Action,Sports,Military,School"
Hitoribocchi no Marumaru Seikatsu,1314,7.63,35464,1201,546,88153,TV,12,Finished Airing,Spring 2019,C2C,4-koma manga,PG-13 - Teens 13 or older,"Comedy,School,Shounen,Slice of Life"
Ike! Ina-chuu Takkyuubu,1313,7.63,3382,3983,119,11830,TV,26,Finished Airing,Spring 1995,Studio Hibari,Manga,R+ - Mild Nudity,"Comedy,Ecchi,School,Sports"
Initial D Battle Stage,1316,7.63,10902,3019,67,21681,OVA,1,Finished Airing,"May 15, 2002",Pastel,Manga,"May 15, 2002","Action,Cars,Drama,Seinen,Sports"
Isshuukan Friends.,1315,7.63,103591,489,1068,214402,TV,12,Finished Airing,Spring 2014,Brain's Base,4-koma manga,PG-13 - Teens 13 or older,"Slice of Life,Comedy,School,Shounen"
Junjou Romantica Special,1316,7.63,11261,2835,103,24452,Special,1,Finished Airing,2008,Studio Deen,Manga,2008,"Comedy,Romance,Shounen Ai"
K,1319,7.63,240879,140,5815,475513,TV,13,Finished Airing,Fall 2012,GoHands,Original,PG-13 - Teens 13 or older,"Action,Super Power,Supernatural"
Kimagure Orange☆Road,1320,7.63,7570,2653,424,27353,TV,48,Finished Airing,Spring 1987,Studio Pierrot,Manga,PG-13 - Teens 13 or older,"Comedy,Drama,Romance,School,Shounen,Slice of Life,Super Power"
Kuroshitsuji II Specials,1321,7.63,42647,1261,455,84080,Special,6,Finished Airing,"Oct 27, 2010 to May 25, 2011",A-1 Pictures,Manga,"Oct 27, 2010 to May 25, 2011","Fantasy,Supernatural,Comedy,Parody,Shounen"
"Kuroshitsuji: Sono Shitsuji, Kougyou",1320,7.63,40533,1372,277,76171,Special,1,Finished Airing,"Sep 30, 2009",A-1 Pictures,Manga,"Sep 30, 2009","Comedy,Historical,Demons,Supernatural,Shounen"
Lady Lady!!,1321,7.63,1632,6161,33,4062,TV,21,Finished Airing,Fall 1987,Toei Animation,Manga,G - All Ages,"Historical,Drama,Shoujo"
Love Stage!!: Chotto ja Nakutte,1324,7.63,21062,2176,71,39422,OVA,1,Finished Airing,"Nov 22, 2014",J.C.Staff,Manga,"Nov 22, 2014","Comedy,Romance,Shounen Ai"
Moyashimon,1325,7.63,23656,1683,236,57656,TV,11,Finished Airing,Fall 2007,Telecom Animation Film,Manga,PG-13 - Teens 13 or older,"Comedy,Supernatural,School,Seinen"
Mutsu Enmei Ryuu Gaiden: Shura no Toki,1324,7.63,7890,3243,120,18690,TV,26,Finished Airing,Spring 2004,Studio Comet,Manga,R - 17+ (violence & profanity),"Action,Historical,Martial Arts,Samurai,Shounen"
