title,rank,score,users_rated,Popularity,Favorites,Members,animeType,Episodes,status,premiered,studio,source,rating,genres
Natsume Yuujinchou Movie: Utsusemi ni Musubu,139,8.42,5212,2721,96,26238,Movie,1,Finished Airing,"Sep 29, 2018",Shuka,Manga,"Sep 29, 2018","Slice of Life,Demons,Supernatural,Drama,Shoujo"
Psycho-Pass,140,8.42,454609,35,28100,929046,TV,22,Finished Airing,Fall 2012,Production I.G,Original,R - 17+ (violence & profanity),"Action,Police,Psychological,Sci-Fi"
Shingeki no Kyojin Season 2,141,8.42,546316,32,10154,939769,TV,12,Finished Airing,Spring 2017,Wit Studio,Manga,R - 17+ (violence & profanity),"Action,Drama,Fantasy,Military,Mystery,Shounen,Super Power"
Shinsekai yori,142,8.42,186829,124,18481,502898,TV,25,Finished Airing,Fall 2012,A-1 Pictures,Novel,R - 17+ (violence & profanity),"Sci-Fi,Mystery,Horror,Psychological,Supernatural,Drama"
Tonari no Totoro,143,8.42,323765,118,5120,513133,Movie,1,Finished Airing,"Apr 16, 1988",Studio Ghibli,Original,"Apr 16, 1988","Adventure,Comedy,Supernatural"
Gintama°: Aizome Kaori-hen,144,8.41,21955,2008,110,44547,OVA,2,Finished Airing,"Aug 4, 2016 to Nov 4, 2016",Bandai Namco Pictures,Manga,"Aug 4, 2016 to Nov 4, 2016","Comedy,Parody"
Grand Blue,145,8.41,107400,467,4260,221156,TV,12,Finished Airing,Summer 2018,Zero-G,Manga,PG-13 - Teens 13 or older,"Slice of Life,Comedy,Seinen"
Kingdom 2nd Season,146,8.41,26493,1698,580,57236,TV,39,Finished Airing,Summer 2013,Studio Pierrot,Manga,R - 17+ (violence & profanity),"Action,Historical,Military,Seinen"
Mo Dao Zu Shi 2,147,8.41,4607,2943,416,22792,ONA,8,Finished Airing,"Aug 3, 2019 to Aug 31, 2019",G.CMay Animation & Film,Novel,"Aug 3, 2019 to Aug 31, 2019","Action,Mystery,Comedy,Historical,Supernatural"
Mononoke,148,8.41,45179,685,4365,157735,TV,12,Finished Airing,Summer 2007,Toei Animation,Original,R - 17+ (violence & profanity),"Mystery,Historical,Horror,Demons,Psychological,Supernatural,Fantasy,Seinen"
Shirobako,149,8.41,91087,341,5367,280397,TV,24,Finished Airing,Fall 2014,P.A. Works,Original,PG-13 - Teens 13 or older,"Comedy,Drama"
Chihayafuru 3,150,8.41,1131,2369,125,33773,TV,24,Currently Airing,Fall 2019,Madhouse,Manga,PG-13 - Teens 13 or older,"Game,Slice of Life,Sports,Drama,School,Josei"
Cowboy Bebop: Tengoku no Tobira,151,8.4,130552,473,898,218325,Movie,1,Finished Airing,"Sep 1, 2001",Bones,Original,"Sep 1, 2001","Action,Drama,Mystery,Sci-Fi,Space"
Fate/Zero,152,8.4,458290,49,24640,822448,TV,13,Finished Airing,Fall 2011,ufotable,Light novel,R - 17+ (violence & profanity),"Action,Supernatural,Magic,Fantasy"
Katanagatari,153,8.4,138958,259,8695,347686,TV,12,Finished Airing,Winter 2010,White Fox,Light novel,R - 17+ (violence & profanity),"Action,Adventure,Historical,Martial Arts,Romance"
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,154,8.39,68138,805,462,134961,Movie,1,Finished Airing,"Oct 13, 2012",Shaft,Original,"Oct 13, 2012","Drama,Magic,Psychological,Thriller"
Ookami to Koushinryou II,155,8.4,187886,282,3687,329315,TV,12,Finished Airing,Summer 2009,Brain's Base,Light novel,PG-13 - Teens 13 or older,"Adventure,Historical,Romance,Fantasy"
Sakamichi no Apollon,156,8.4,109985,432,5189,230940,TV,12,Finished Airing,Spring 2012,Tezuka Productions,Manga,PG-13 - Teens 13 or older,"Drama,Josei,Music,Romance,School"
Shelter,157,8.4,138932,506,2008,207299,Half H.P Studio,1,Finished Airing,"Oct 18, 2016",A-1 Pictures,Music,"Oct 18, 2016","Sci-Fi,Music"
Shingeki no Kyojin: Kuinaki Sentaku,158,8.4,119788,484,1171,215225,OVA,2,Finished Airing,"Dec 9, 2014 to Apr 9, 2015",Wit Studio,Visual novel,"Dec 9, 2014 to Apr 9, 2015","Action,Fantasy,Shoujo"
Shokugeki no Souma: Ni no Sara,159,8.4,325846,110,2783,540610,TV,13,Finished Airing,Summer 2016,J.C.Staff,Manga,PG-13 - Teens 13 or older,"Ecchi,School,Shounen"
Steins;Gate: Oukoubakko no Poriomania,160,8.4,173998,351,684,272847,Special,1,Finished Airing,"Feb 22, 2012",White Fox,Visual novel,"Feb 22, 2012","Sci-Fi,Comedy,Thriller"
Diamond no Ace: Second Season,161,8.39,38796,1383,748,75547,TV,51,Finished Airing,Spring 2015,Production I.G,Manga,PG-13 - Teens 13 or older,"Comedy,Sports,School,Shounen"
Evangelion: 2.0 You Can (Not) Advance,162,8.39,165885,336,2439,281772,Movie,1,Finished Airing,"Jul 27, 2009",Khara,Original,"Jul 27, 2009","Action,Sci-Fi,Mecha"
Kemono no Souja Erin,163,8.39,14111,1663,1240,58312,TV,50,Finished Airing,Winter 2009,Production I.G,Novel,PG-13 - Teens 13 or older,"Drama,Fantasy,Slice of Life"
Kino no Tabi: The Beautiful World,164,8.39,60133,588,5180,179378,TV,13,Finished Airing,Spring 2003,A.C.G.T.,Light novel,R - 17+ (violence & profanity),"Action,Adventure,Psychological,Slice of Life"
Perfect Blue,165,8.39,128247,392,5679,246435,Movie,1,Finished Airing,"Feb 28, 1998",Madhouse,Novel,"Feb 28, 1998","Dementia,Drama,Horror,Psychological"
Promare,166,8.39,7103,1954,371,46896,Movie,1,Finished Airing,"May 24, 2019",Trigger,Original,"May 24, 2019","Action,Mecha,Sci-Fi,Super Power"
Shokugeki no Souma: San no Sara,167,8.39,224109,193,2323,404442,TV,12,Finished Airing,Fall 2017,J.C.Staff,Manga,PG-13 - Teens 13 or older,"Ecchi,School,Shounen"
Detective Conan Movie 06: The Phantom of Baker Street,168,8.38,27831,1965,149,46277,Movie,1,Finished Airing,"Apr 20, 2002",TMS Entertainment,Manga,"Apr 20, 2002","Adventure,Mystery,Police,Shounen"
Detective Conan: Episode One - The Great Detective Turned Small,169,8.38,6858,3473,51,16411,Special,1,Finished Airing,"Dec 9, 2016",TMS Entertainment,Manga,"Dec 9, 2016","Adventure,Mystery,Comedy,Police,Shounen"
Fate/stay night: Unlimited Blade Works 2nd Season,170,8.38,275960,169,5109,435054,TV,13,Finished Airing,Spring 2015,ufotable,Visual novel,R - 17+ (violence & profanity),"Action,Fantasy,Magic,Supernatural"
Kuroshitsuji Movie: Book of the Atlantic,171,8.38,33453,1163,875,90873,Movie,1,Finished Airing,"Jan 21, 2017",A-1 Pictures,Manga,"Jan 21, 2017","Action,Mystery,Comedy,Historical,Demons,Supernatural,Shounen"
Magi: The Kingdom of Magic,172,8.38,253603,139,6418,476010,TV,25,Finished Airing,Fall 2013,A-1 Pictures,Manga,PG-13 - Teens 13 or older,"Action,Adventure,Magic,Fantasy,Shounen"
Major S6,173,8.38,24068,2118,359,40662,TV,25,Finished Airing,Spring 2010,SynergySP,Manga,PG-13 - Teens 13 or older,"Comedy,Drama,Shounen,Sports"
Natsume Yuujinchou,174,8.38,123769,271,11706,337850,TV,13,Finished Airing,Summer 2008,Brain's Base,Manga,PG-13 - Teens 13 or older,"Slice of Life,Demons,Supernatural,Drama,Shoujo"
Natsume Yuujinchou: Itsuka Yuki no Hi ni,175,8.38,23141,1841,83,51021,OVA,1,Finished Airing,"Feb 1, 2014",Brain's Base,Manga,"Feb 1, 2014","Slice of Life,Demons,Supernatural,Drama,Shoujo"
